round,date,win 1,win 2,win 3
440,2011.5.7,6,41,"1,495"
439,2011.4.30,6,33,"1,437"
438,2011.4.23,9,41,"1,303"
437,2011.4.16,6,33,"1,286"
436,2011.4.9,8,44,"1,425"
435,2011.4.2,10,31,"1,426"
434,2011.3.26,8,37,"1,867"
433,2011.3.19,11,41,"1,278"
432,2011.3.12,5,48,"1,747"
431,2011.3.5,10,43,"1,337"
430,2011.2.26,8,45,"1,449"
429,2011.2.19,9,37,"1,389"
428,2011.2.12,9,30,"1,568"
427,2011.2.5,1,33,"1,415"
426,2011.1.29,4,63,"1,463"
425,2011.1.22,8,41,"1,297"
424,2011.1.15,10,51,"1,686"
423,2011.1.8,3,47,"1,432"
422,2011.1.1,6,21,"1,293"
421,2010.12.25,5,36,"1,203"
420,2010.12.18,8,35,"1,187"
419,2010.12.11,3,33,"1,194"
418,2010.12.4,8,46,"1,316"
417,2010.11.27,4,34,"1,181"
416,2010.11.20,10,32,"1,501"
415,2010.11.13,8,35,"1,587"
414,2010.11.6,1,35,"1,220"
413,2010.10.30,4,36,"1,256"
412,2010.10.23,7,34,"1,223"
411,2010.10.16,12,36,"1,318"
410,2010.10.9,9,37,"1,303"
409,2010.10.2,4,36,"1,320"
408,2010.9.25,5,33,"1,244"
407,2010.9.18,7,27,"1,268"
406,2010.9.11,5,33,"1,442"
405,2010.9.4,3,35,"1,283"
404,2010.8.28,3,26,"1,273"
403,2010.8.21,5,43,"1,321"
402,2010.8.14,4,41,"1,271"
401,2010.8.7,9,29,"1,355"
400,2010.7.31,4,30,"1,254"
399,2010.7.24,8,40,"1,462"
398,2010.7.17,4,31,"1,112"
397,2010.7.10,3,31,"1,366"
396,2010.7.3,2,34,"1,202"
395,2010.6.26,7,42,"1,420"
394,2010.6.19,1,33,"1,204"
393,2010.6.12,8,35,"1,072"
392,2010.6.5,6,30,"1,504"
391,2010.5.29,1,32,"1,337"
390,2010.5.22,1,37,"1,087"
389,2010.5.15,5,36,"1,253"
388,2010.5.8,4,30,"1,269"
387,2010.5.1,4,26,"1,177"
386,2010.4.24,10,59,"1,683"
385,2010.4.17,7,36,"1,235"
384,2010.4.10,3,41,"1,215"
383,2010.4.3,3,28,"1,251"
382,2010.3.27,6,32,"1,212"
